strain	galbut	day	replicate	number_alive	number_valid_flies
25192	FALSE	73	1	0	10
25192	FALSE	73	2	0	10
25192	FALSE	73	3	0	10
25192	FALSE	73	4	0	10
25192	FALSE	73	5	0	10
25197	TRUE	1	1	10	10
25197	TRUE	1	2	10	10
25197	TRUE	1	3	10	10
25197	TRUE	1	4	10	10
25197	TRUE	1	5	10	10
25197	TRUE	2	1	10	10
25197	TRUE	2	2	10	10
25197	TRUE	2	3	10	10
25197	TRUE	2	4	10	10
25197	TRUE	2	5	10	10
25197	TRUE	3	1	10	10
25197	TRUE	3	2	10	10
25197	TRUE	3	3	10	10
25197	TRUE	3	4	10	10
25197	TRUE	3	5	10	10
25197	TRUE	4	1	10	10
25197	TRUE	4	2	10	10
25197	TRUE	4	3	10	10
25197	TRUE	4	4	10	10
25197	TRUE	4	5	10	10
25197	TRUE	5	1	10	10
25197	TRUE	5	2	10	10
25197	TRUE	5	3	10	10
25197	TRUE	5	4	10	10
25197	TRUE	5	5	10	10
25197	TRUE	6	1	10	10
25197	TRUE	6	2	10	10
25197	TRUE	6	3	10	10
25197	TRUE	6	4	10	10
25197	TRUE	6	5	10	10
25197	TRUE	7	1	10	10
25197	TRUE	7	2	10	10
25197	TRUE	7	3	10	10
25197	TRUE	7	4	10	10
25197	TRUE	7	5	10	10
25197	TRUE	8	1	10	10
25197	TRUE	8	2	10	10
25197	TRUE	8	3	10	10
25197	TRUE	8	4	10	10
25197	TRUE	8	5	10	10
25197	TRUE	9	1	10	10
25197	TRUE	9	2	10	10
25197	TRUE	9	3	10	10
25197	TRUE	9	4	10	10
25197	TRUE	9	5	10	10
25197	TRUE	10	1	10	10
25197	TRUE	10	2	10	10
25197	TRUE	10	3	10	10
25197	TRUE	10	4	10	10
25197	TRUE	10	5	10	10
25197	TRUE	11	1	10	10
25197	TRUE	11	2	10	10
25197	TRUE	11	3	10	10
25197	TRUE	11	4	10	10
25197	TRUE	11	5	10	10
25197	TRUE	12	1	10	10
25197	TRUE	12	2	10	10
25197	TRUE	12	3	10	10
25197	TRUE	12	4	10	10
25197	TRUE	12	5	10	10
25197	TRUE	13	1	10	10
25197	TRUE	13	2	10	10
25197	TRUE	13	3	10	10
25197	TRUE	13	4	10	10
25197	TRUE	13	5	10	10
25197	TRUE	14	1	10	10
25197	TRUE	14	2	10	10
25197	TRUE	14	3	10	10
25197	TRUE	14	4	10	10
25197	TRUE	14	5	10	10
25197	TRUE	15	1	10	10
25197	TRUE	15	2	10	10
25197	TRUE	15	3	10	10
25197	TRUE	15	4	10	10
25197	TRUE	15	5	10	10
25197	TRUE	16	1	10	10
25197	TRUE	16	2	10	10
25197	TRUE	16	3	10	10
25197	TRUE	16	4	10	10
25197	TRUE	16	5	10	10
25197	TRUE	17	1	10	10
25197	TRUE	17	2	10	10
25197	TRUE	17	3	10	10
25197	TRUE	17	4	10	10
25197	TRUE	17	5	10	10
25197	TRUE	18	1	10	10
25197	TRUE	18	2	10	10
25197	TRUE	18	3	10	10
25197	TRUE	18	4	10	10
25197	TRUE	18	5	10	10
25197	TRUE	19	1	10	10
25197	TRUE	19	2	10	10
25197	TRUE	19	3	10	10
25197	TRUE	19	4	10	10
25197	TRUE	19	5	10	10
25197	TRUE	20	1	10	10
25197	TRUE	20	2	10	10
